Time	Channel A	Channel B
(us)	(V)	(mV)

-4.59999956	0.00000000	-5.19192900
-4.39999957	0.00000000	-5.19192900
-4.19999958	0.00000000	-5.19192900
-3.99999959	0.00000000	-5.19192900
-3.79999960	0.00000000	-5.14271600
-3.59999962	0.00000000	-4.77977300
-3.39999963	0.00000000	-4.37992100
-3.19999964	0.00000000	-4.77977300
-2.99999965	0.00000000	-5.14271600
-2.79999966	0.00000000	-5.19192900
-2.59999968	0.00000000	-5.19192900
-2.39999969	0.00000000	-5.19192900
-2.19999970	0.00000000	-5.19192900
-1.99999971	0.00000000	-5.19192900
-1.79999972	0.00000000	-5.19192900
-1.59999973	0.00000000	-5.19192900
-1.39999975	0.00000000	-5.19192900
-1.19999976	0.00000000	-5.19192900
-0.99999977	0.00000000	-5.19192900
-0.79999978	0.00000000	-5.19192900
-0.59999979	0.00000000	-5.19192900
-0.39999981	0.35125490	-5.19192900
-0.19999982	0.70250980	-5.19192900
0.00000017	0.87844490	-5.19192900
0.20000016	1.05376500	-5.19192900
0.40000015	0.70250980	-5.19192900
0.60000013	0.35125490	-5.19192900
0.80000012	-0.52657480	-5.19192900
1.00000011	-1.58095500	-5.19192900
1.20000010	-2.45940000	-5.19192900
1.40000009	-2.81127000	-5.19192900
1.60000008	-2.45940000	-5.19192900
1.80000006	-1.22970000	-5.19192900
2.00000005	0.70250980	-5.19192900
2.20000004	2.81127000	-5.19192900
2.40000003	4.56816000	-5.19192900
2.60000002	5.27128500	-5.19192900
2.80000000	4.74409400	-5.19192900
2.99999999	2.63533500	-5.19192900
3.19999998	-0.35125490	-5.24114100
3.39999997	-3.86565000	-5.60408400
3.59999996	-6.67691900	-6.00393600
3.79999994	-8.08255400	-5.55487200
3.99999993	-7.37942900	-4.77977300
4.19999992	-4.74409400	-3.92470400
4.39999991	-0.70250980	-3.56176100
4.59999990	3.68971500	-3.92470400
4.79999989	7.37942900	-4.73056000
4.99999987	9.31225400	-5.14271600
5.19999986	8.96099900	-5.24114100
5.39999985	6.32566500	-5.65329700
5.59999984	1.93282500	-6.41609200
5.79999983	-2.81127000	-6.41609200
5.99999981	-7.02817400	-5.65329700
6.19999980	-9.31225400	-5.19192900
6.39999979	-9.13693400	-4.73056000
6.59999978	-6.85223900	-3.92470400
6.79999977	-2.98659000	-3.51254900
6.99999975	1.40563500	-3.51254900
7.19999974	5.27128500	-3.92470400
7.39999973	7.37942900	-4.73056000
7.59999972	7.55536400	-5.14271600
7.79999971	5.79847400	-5.19192900
7.99999970	2.98659000	-5.24114100
8.19999968	-0.35125490	-5.60408400
8.39999967	-3.16252500	-6.00393600
8.59999966	-4.74409400	-5.60408400
8.79999965	-5.09534900	-5.24114100
8.99999964	-4.04096900	-5.19192900
9.19999962	-2.28408000	-5.14271600
9.39999961	-0.35125490	-4.77977300
9.59999960	1.40563500	-4.37992100
9.79999959	2.28408000	-4.77977300
9.99999958	2.45940000	-5.14271600
10.19999956	1.93282500	-5.19192900
