Time	Channel A	Channel B
(us)	(V)	(mV)

23.89999876	0.00000000	-15.99409000
24.09999875	0.00000000	-15.16978000
24.29999873	0.00000000	-14.31471000
24.49999872	0.00000000	-13.85334000
24.69999871	0.00000000	-13.44119000
24.89999870	0.00000000	-13.04134000
25.09999869	0.00000000	-13.49040000
25.29999867	0.00000000	-14.31471000
25.49999866	0.00000000	-15.63115000
25.69999865	0.00000000	-17.36589000
25.89999864	0.00000000	-19.55585000
26.09999863	0.00000000	-22.45940000
26.29999862	0.00000000	-24.95694000
26.49999860	0.00000000	-25.77510000
26.69999859	0.00000000	-24.90772000
26.89999858	0.00000000	-21.85039000
27.09999857	0.00000000	-16.75689000
27.29999856	0.00000000	-10.39001000
27.49999854	0.00000000	-4.17076700
27.69999853	0.00000000	-0.35679130
27.89999852	0.00000000	-0.39370070
28.09999851	0.00000000	-3.81397600
28.29999850	0.00000000	-11.09744000
28.49999848	0.00000000	-20.78002000
28.69999847	0.00000000	-30.51181000
28.89999846	0.00000000	-38.05979000
29.09999845	0.00000000	-40.96333000
29.29999844	0.00000000	-37.91216000
29.49999843	0.00000000	-28.93701000
29.69999841	0.00000000	-14.97908000
29.89999840	0.00000000	0.61515740
30.09999839	0.00000000	13.71186000
30.29999838	0.00000000	21.30290000
30.49999837	0.00000000	21.25369000
30.69999835	0.00000000	13.10285000
30.89999834	0.00000000	-2.18380900
31.09999833	0.00000000	-22.00418000
31.29999832	0.00000000	-40.96333000
31.49999831	0.00000000	-54.10925000
31.69999829	0.00000000	-58.69832000
31.89999828	0.00000000	-53.14345000
32.09999827	0.00000000	-37.91216000
32.29999826	0.00000000	-16.75689000
32.49999825	0.00000000	5.71481200
32.69999824	0.00000000	24.71703000
32.89999822	0.00000000	35.67913000
33.09999821	0.00000000	35.62992000
33.29999820	0.00000000	24.16338000
33.49999819	0.00000000	3.42027500
33.69999818	0.00000000	-21.85654000
33.89999816	0.00000000	-45.14025000
34.09999815	0.00000000	-60.88828000
34.29999814	0.00000000	-66.79995000
34.49999813	0.00000000	-61.23892000
34.69999812	0.00000000	-44.73425000
34.89999810	0.00000000	-21.49360000
35.09999809	0.00000000	3.42027500
35.29999808	0.00000000	23.70202000
35.49999807	0.00000000	34.30733000
35.69999806	0.00000000	33.48302000
35.89999805	0.00000000	21.20448000
36.09999803	0.00000000	0.61515740
36.29999802	0.00000000	-22.71777000
36.49999801	0.00000000	-43.46702000
36.69999800	0.00000000	-57.82480000
36.89999799	0.00000000	-61.60187000
37.09999797	0.00000000	-54.10925000
37.29999796	0.00000000	-38.10900000
37.49999795	0.00000000	-17.82726000
37.69999794	0.00000000	1.59325800
37.89999793	0.00000000	15.60039000
38.09999791	0.00000000	21.10605000
38.29999790	0.00000000	17.38435000
38.49999789	0.00000000	5.56717500
38.69999788	0.00000000	-10.85138000
38.89999787	0.00000000	-27.71284000
39.09999786	0.00000000	-40.35433000
39.29999784	0.00000000	-45.49705000
39.49999783	0.00000000	-42.59350000
39.69999782	0.00000000	-32.96014000
39.89999781	0.00000000	-19.55585000
40.09999780	0.00000000	-6.91437000
40.29999778	-0.17531990	1.59325800
40.49999777	0.00000000	4.64443900
40.69999776	0.00000000	2.15305100
40.89999775	0.00000000	-4.57677100
41.09999774	0.00000000	-13.80413000
41.29999772	0.00000000	-22.61934000
41.49999771	0.00000000	-28.12500000
41.69999770	0.00000000	-29.49680000
41.89999769	0.00000000	-26.95005000
42.09999768	0.00000000	-21.54281000
42.29999767	0.00000000	-14.81914000
42.49999765	0.00000000	-9.36269600
42.69999764	0.00000000	-6.35457700
42.89999763	0.00000000	-6.30536400
43.09999762	0.00000000	-8.75369100
