Time	Channel A	Channel B	Channel C
(us)	(V)	(mV)	(mV)

-4.59999956	0.00000000	-61.66338000	-29.20767000
-4.39999957	0.00000000	-61.66338000	-28.79552000
-4.19999958	0.00000000	-61.66338000	-28.51255000
-3.99999959	0.00000000	-61.66338000	-28.79552000
-3.79999960	0.00000000	-61.66338000	-29.16461000
-3.59999962	0.00000000	-61.66338000	-28.79552000
-3.39999963	0.00000000	-61.66338000	-28.51255000
-3.19999964	0.00000000	-61.66338000	-28.79552000
-2.99999965	0.00000000	-61.66338000	-29.20767000
-2.79999966	0.00000000	-61.66338000	-29.17077000
-2.59999968	0.00000000	-61.66338000	-29.25074000
-2.39999969	0.00000000	-61.66338000	-29.21383000
-2.19999970	0.00000000	-61.66338000	-29.62598000
-1.99999971	0.00000000	-61.66338000	-29.90895000
-1.79999972	0.00000000	-61.66338000	-29.58292000
-1.59999973	0.00000000	-61.66338000	-28.83858000
-1.39999975	0.00000000	-61.66338000	-28.46333000
-1.19999976	0.00000000	-61.66338000	-28.42027000
-0.99999977	0.00000000	-61.66338000	-28.46333000
-0.79999978	0.00000000	-61.66338000	-28.79552000
-0.59999979	0.00000000	-61.66338000	-29.16461000
-0.39999981	0.15871060	-61.66338000	-28.79552000
-0.19999982	0.63668800	-61.66338000	-28.46333000
0.00000017	0.79601380	-61.66338000	-28.42027000
0.20000016	1.11466500	-61.66338000	-28.42027000
0.40000015	0.95533960	-61.66338000	-28.42027000
0.60000013	0.47736220	-61.66338000	-28.42027000
0.80000012	-0.15871060	-61.66338000	-28.42027000
1.00000011	-1.11466500	-61.66338000	-28.42027000
1.20000010	-2.07062000	-61.66338000	-28.42027000
1.40000009	-2.70792300	-61.66338000	-28.42027000
1.60000008	-2.70792300	-61.66338000	-28.42027000
1.80000006	-1.75196900	-61.66338000	-28.42027000
2.00000005	-0.15871060	-61.66338000	-28.42027000
2.20000004	1.91129400	-61.66338000	-28.42027000
2.40000003	3.98191400	-61.66338000	-28.42027000
2.60000002	5.25652100	-61.66338000	-28.42027000
2.80000000	5.25652100	-61.66338000	-28.42027000
2.99999999	3.82258900	-61.66338000	-28.42027000
3.19999998	0.95533960	-61.66338000	-28.46333000
3.39999997	-2.38927200	-61.66338000	-28.79552000
3.59999996	-5.57517200	-61.62032000	-29.16461000
3.79999994	-7.64579200	-61.28814000	-28.79552000
3.99999993	-7.80511800	-60.91904000	-28.46333000
4.19999992	-6.05315000	-61.28814000	-28.37721000
4.39999991	-2.54859700	-61.62032000	-28.04503000
4.59999990	1.91129400	-61.66338000	-27.67593000
4.79999989	5.89382400	-61.66338000	-28.04503000
4.99999987	8.76107300	-61.66338000	-28.42027000
5.19999986	9.39837600	-61.66338000	-28.79552000
5.39999985	7.64579200	-61.66338000	-29.16461000
5.59999984	3.98191400	-61.66338000	-28.79552000
5.79999983	-0.79601380	-61.66338000	-28.46333000
5.99999981	-5.25652100	-61.66338000	-28.42027000
6.19999980	-8.44242100	-61.66338000	-28.42027000
6.39999979	-9.55770200	-61.66338000	-28.42027000
6.59999978	-8.12377000	-61.66338000	-28.37721000
6.79999977	-4.93786900	-61.62032000	-28.00197000
6.99999975	-0.47736220	-61.28814000	-27.30684000
7.19999974	3.66326300	-60.91904000	-27.30684000
7.39999973	6.69045300	-61.28814000	-28.00197000
7.59999972	7.80511800	-61.62032000	-28.37721000
7.79999971	7.00848900	-61.66338000	-28.42027000
7.99999970	4.45989200	-61.66338000	-28.42027000
8.19999968	1.27399100	-61.66338000	-28.42027000
8.39999967	-1.91129400	-61.66338000	-28.42027000
8.59999966	-4.14124000	-61.66338000	-28.46333000
8.79999965	-5.25652100	-61.66338000	-28.79552000
8.99999964	-4.77854300	-61.66338000	-29.16461000
9.19999962	-3.34522600	-61.66338000	-28.79552000
9.39999961	-1.27399100	-61.66338000	-28.46333000
9.59999960	0.47736220	-61.66338000	-28.42027000
9.79999959	1.91129400	-61.66338000	-28.46333000
9.99999958	2.54859700	-61.66338000	-28.83858000
10.19999956	2.38927200	-61.66338000	-29.58292000
10.39999955	1.75196900	-61.66338000	-29.95817000
10.59999954	0.79601380	-61.66338000	-29.95817000
10.79999953	0.00000000	-61.70644000	-29.62598000
10.99999952	-0.63668800	-62.03863000	-29.25689000
11.19999951	-0.95533960	-62.45079000	-29.62598000
11.39999949	-0.95533960	-62.41388000	-29.95817000
11.59999948	-0.79601380	-62.45079000	-30.00123000
11.79999947	-0.47736220	-62.08169000	-30.00123000
11.99999946	-0.31803640	-62.13090000	-30.00123000
12.19999945	-0.15871060	-62.77681000	-30.00123000
12.39999943	-0.15871060	-62.77681000	-29.95817000
12.59999942	0.00000000	-62.08169000	-29.62598000
12.79999941	0.00000000	-61.70644000	-29.25689000
12.99999940	0.00000000	-61.66338000	-29.62598000
13.19999939	0.00000000	-61.66338000	-29.90895000
13.39999937	0.00000000	-61.66338000	-29.62598000
13.59999936	0.00000000	-61.70644000	-29.25689000
13.79999935	0.00000000	-62.03863000	-29.62598000
13.99999934	-0.15871060	-62.45079000	-29.95817000
14.19999933	-0.15871060	-62.41388000	-29.95817000
14.39999932	-0.15871060	-62.45079000	-29.58292000
14.59999930	0.00000000	-62.08169000	-28.88779000
14.79999929	0.00000000	-62.13090000	-28.83858000
14.99999928	0.00000000	-62.77681000	-29.16461000
15.19999927	0.00000000	-62.82603000	-28.79552000
15.39999926	0.00000000	-62.50000000	-28.51255000
15.59999924	0.00000000	-62.82603000	-28.79552000
15.79999923	0.00000000	-62.82603000	-29.16461000
15.99999922	0.00000000	-62.50000000	-28.79552000
16.19999921	0.00000000	-62.82603000	-28.46333000
16.39999920	-0.15871060	-62.77681000	-28.42027000
16.59999919	-0.15871060	-62.08169000	-28.46333000
16.79999917	-0.15871060	-61.70644000	-28.79552000
16.99999916	0.00000000	-61.62032000	-29.16461000
17.19999915	0.00000000	-61.24508000	-28.79552000
17.39999914	0.00000000	-60.50073000	-28.46333000
17.59999913	0.00000000	-60.17470000	-28.42027000
17.79999911	0.00000000	-60.54995000	-28.42027000
17.99999910	0.00000000	-61.70644000	-28.42027000
18.19999909	0.00000000	-63.24434000	-28.42027000
18.39999908	0.00000000	-64.82529000	-28.42027000
18.59999907	0.00000000	-66.36318000	-28.42027000
18.79999905	0.00000000	-67.52583000	-28.42027000
18.99999904	0.00000000	-67.85802000	-28.42027000
19.19999903	0.00000000	-67.06447000	-28.42027000
19.39999902	0.00000000	-64.68996000	-28.42027000
19.59999901	0.00000000	-61.19586000	-28.42027000
19.79999900	0.00000000	-56.96358000	-28.42027000
19.99999898	0.00000000	-53.14960000	-28.42027000
20.19999897	0.00000000	-51.19340000	-28.42027000
20.39999896	0.00000000	-51.24261000	-28.42027000
20.59999895	0.00000000	-53.66018000	-28.42027000
20.79999894	0.00000000	-59.09818000	-28.42027000
20.99999892	0.00000000	-66.45546000	-28.42027000
21.19999891	-0.15871060	-74.18184000	-28.42027000
21.39999890	0.00000000	-80.69020000	-28.42027000
21.59999889	0.00000000	-83.67372000	-28.42027000
21.79999888	0.00000000	-81.71751000	-28.42027000
21.99999886	0.00000000	-74.69857000	-28.46333000
22.19999885	0.00000000	-63.85334000	-28.79552000
22.39999884	0.00000000	-51.10728000	-29.20767000
22.59999883	0.00000000	-39.56693000	-29.17077000
22.79999882	0.00000000	-32.25885000	-29.20767000
22.99999881	0.00000000	-31.18848000	-28.79552000
23.19999879	0.00000000	-37.46924000	-28.46333000
23.39999878	0.00000000	-50.63361000	-28.37721000
23.59999877	-0.15871060	-68.03641000	-28.00197000
23.79999876	0.00000000	-85.76525000	-27.25763000
23.99999875	0.00000000	-99.63090000	-26.93159000
24.19999873	0.00000000	-105.73330000	-27.30684000
24.39999872	0.00000000	-102.19610000	-28.46333000
24.59999871	0.00000000	-89.02558000	-30.00123000
24.79999870	0.00000000	-68.92839000	-31.57603000
24.99999869	0.00000000	-46.49975000	-33.11393000
25.19999867	0.00000000	-26.44562000	-34.27042000
25.39999866	0.00000000	-13.83489000	-34.60261000
25.59999865	0.00000000	-12.67224000	-33.80905000
25.79999864	0.00000000	-23.46210000	-31.44069000
25.99999863	0.00000000	-43.14714000	-28.00197000
26.19999862	0.00000000	-67.52583000	-24.10187000
26.39999860	0.00000000	-91.07406000	-20.66314000
26.59999859	0.00000000	-108.47070000	-18.38706000
26.79999858	0.00000000	-115.77880000	-18.43012000
26.99999857	0.00000000	-111.12200000	-21.16757000
27.19999856	0.00000000	-95.34940000	-26.23647000
27.39999854	0.00000000	-72.55782000	-33.20620000
27.59999853	0.00000000	-48.21604000	-40.54502000
27.79999852	0.00000000	-27.32529000	-46.67815000
27.99999851	0.00000000	-14.99139000	-50.06767000
28.19999850	0.00000000	-13.74262000	-48.86811000
28.39999848	0.00000000	-23.36983000	-43.06102000
28.59999847	0.00000000	-41.14788000	-33.71678000
28.79999846	0.00000000	-63.15822000	-22.15182000
28.99999845	0.00000000	-84.36884000	-10.99901000
29.19999844	0.00000000	-99.49556000	-3.28494100
29.39999843	0.00000000	-105.81940000	-0.63361220
29.59999841	0.00000000	-103.16810000	-4.16461600
29.79999840	0.00000000	-92.69807000	-13.87180000
29.99999839	0.00000000	-76.50098000	-27.76821000
30.19999838	0.00000000	-58.35999000	-43.19020000
30.39999837	0.00000000	-42.82111000	-56.29921000
30.59999835	0.00000000	-32.30191000	-64.01328000
30.79999834	0.00000000	-28.44488000	-64.75147000
30.99999833	0.00000000	-32.25885000	-57.78789000
31.19999832	0.00000000	-42.21825000	-44.63582000
31.39999831	0.00000000	-55.38877000	-28.00197000
31.59999829	0.00000000	-68.97145000	-10.99901000
31.79999828	0.00000000	-80.60408000	2.47293300
31.99999827	0.00000000	-87.95521000	9.44266700
32.19999826	0.00000000	-89.53616000	8.28001900
32.39999825	0.00000000	-85.34695000	-0.59670270
32.59999824	0.00000000	-76.87623000	-15.27436000
32.79999822	0.00000000	-66.40624000	-32.64640000
32.99999821	0.00000000	-55.93627000	-48.91117000
33.19999820	0.00000000	-47.42864000	-60.90059000
33.39999819	0.00000000	-42.82111000	-66.28937000
33.59999818	0.00000000	-43.14714000	-63.59498000
33.79999816	0.00000000	-48.12377000	-53.60482000
33.99999815	0.00000000	-55.80708000	-38.87795000
34.19999814	0.00000000	-64.31471000	-22.28100000
34.39999813	0.00000000	-71.67200000	-7.23425100
34.59999812	0.00000000	-76.32258000	2.42987200
34.79999810	0.00000000	-77.48523000	5.21653500
34.99999809	0.00000000	-74.79084000	0.94119090
35.19999808	0.00000000	-69.10678000	-9.46727400
35.39999807	0.00000000	-62.54921000	-23.77584000
35.59999806	0.00000000	-57.14812000	-38.78568000
35.79999805	0.00000000	-53.61712000	-51.09497000
35.99999803	0.00000000	-52.86663000	-57.27731000
36.19999802	0.00000000	-54.77977000	-56.20694000
36.39999801	0.00000000	-59.01205000	-48.95423000
36.59999800	0.00000000	-64.36392000	-37.75836000
36.79999799	0.00000000	-68.97145000	-25.44291000
36.99999797	0.00000000	-71.67200000	-14.66535000
37.19999796	0.00000000	-71.71505000	-8.52608300
37.39999795	0.00000000	-69.39591000	-8.48302100
37.59999794	0.00000000	-65.56963000	-14.20399000
37.79999793	0.00000000	-60.91904000	-23.77584000
37.99999791	0.00000000	-57.09892000	-34.14124000
38.19999790	0.00000000	-54.68750000	-42.55044000
38.39999789	0.00000000	-54.02928000	-46.40133000
38.59999788	0.00000000	-55.53026000	-44.50664000
38.79999787	0.00000000	-59.33194000	-38.03519000
38.99999786	0.00000000	-63.20127000	-28.79552000
39.19999784	0.00000000	-66.78149000	-19.63582000
39.39999783	0.00000000	-70.22637000	-13.13361000
39.59999782	0.00000000	-72.13951000	-11.64493000
39.79999781	0.00000000	-72.18258000	-15.82800000
39.99999780	0.00000000	-70.60162000	-24.23720000
40.19999778	0.00000000	-67.48277000	-34.18430000
40.39999777	0.00000000	-63.24434000	-42.63656000
40.59999776	0.00000000	-59.01205000	-47.24409000
40.79999775	0.00000000	-55.85014000	-46.91191000
40.99999774	0.00000000	-53.93700000	-41.89838000
41.19999772	0.00000000	-53.57406000	-33.80905000
41.39999771	0.00000000	-55.47490000	-24.19414000
41.59999770	0.00000000	-58.54454000	-15.78494000
41.79999769	0.00000000	-62.13090000	-11.17741000
41.99999768	0.00000000	-66.36318000	-11.50960000
42.19999767	0.00000000	-70.17716000	-16.47392000
42.39999765	0.00000000	-72.13951000	-24.14493000
42.59999764	0.00000000	-72.22563000	-32.64640000
42.79999763	0.00000000	-71.06299000	-39.94832000
42.99999762	0.00000000	-69.06373000	-44.21752000
43.19999761	0.00000000	-65.98794000	-44.63582000
43.39999759	0.00000000	-62.54921000	-41.61540000
43.59999758	0.00000000	-60.21776000	-36.22662000
43.79999757	0.00000000	-59.01205000	-30.08735000
43.99999756	0.00000000	-58.96899000	-24.65551000
44.19999755	0.00000000	-59.70718000	-21.16757000
44.39999753	0.00000000	-60.45767000	-20.01107000
44.59999752	0.00000000	-61.24508000	-21.49975000
44.79999751	0.00000000	-61.62032000	-24.88927000
44.99999750	0.00000000	-61.70644000	-28.37721000
45.19999749	0.00000000	-62.13090000	-31.53297000
45.39999748	0.00000000	-63.28740000	-34.22736000
45.59999746	0.00000000	-64.86835000	-35.75910000
45.79999745	0.00000000	-66.87376000	-35.75910000
45.99999744	0.00000000	-69.57431000	-34.27042000
46.19999743	0.00000000	-72.18258000	-31.95128000
46.39999742	0.00000000	-73.29601000	-29.62598000
46.59999740	0.00000000	-72.13951000	-27.30684000
46.79999739	0.00000000	-69.02066000	-25.77510000
46.99999738	0.00000000	-64.31471000	-25.35679000
47.19999737	0.00000000	-58.54454000	-25.77510000
47.39999736	0.00000000	-53.10654000	-27.30684000
47.59999734	0.00000000	-49.32948000	-29.58292000
47.79999733	0.00000000	-48.26525000	-31.53297000
47.99999732	0.00000000	-51.75319000	-33.11393000
48.19999731	0.00000000	-58.63681000	-34.22736000
48.39999730	0.00000000	-66.78149000	-34.18430000
48.59999729	0.00000000	-74.87697000	-32.64640000
48.79999727	0.00000000	-80.64714000	-29.95201000
48.99999726	0.00000000	-82.56028000	-26.88853000
49.19999725	0.00000000	-80.22883000	-24.19414000
49.39999724	0.00000000	-73.67126000	-22.65625000
49.59999723	0.00000000	-64.78223000	-22.61319000
49.79999721	0.00000000	-55.51796000	-23.81890000
49.99999720	0.00000000	-47.84694000	-26.14419000
50.19999719	0.00000000	-44.40207000	-29.62598000
50.39999718	0.00000000	-45.89075000	-33.06471000
50.59999717	0.00000000	-51.70398000	-35.80217000
50.79999715	0.00000000	-60.50073000	-37.29700000
50.99999714	0.00000000	-69.75885000	-36.87869000
51.19999713	0.00000000	-76.69783000	-34.22736000
51.39999712	0.00000000	-80.22883000	-30.37647000
51.59999711	0.00000000	-79.39838000	-26.51329000
51.79999710	0.00000000	-74.41560000	-22.98843000
51.99999708	0.00000000	-66.36318000	-20.74926000
52.19999707	0.00000000	-57.94168000	-20.33710000
52.39999706	0.00000000	-51.75319000	-22.28100000
52.59999705	0.00000000	-49.05265000	-25.68282000
52.79999704	0.00000000	-50.59055000	-29.58292000
52.99999702	0.00000000	-55.93627000	-33.06471000
53.19999701	0.00000000	-63.20127000	-35.75910000
53.39999700	0.00000000	-70.13410000	-36.87254000
53.59999699	0.00000000	-74.79084000	-35.75910000
53.79999698	0.00000000	-76.32258000	-33.11393000
53.99999696	0.00000000	-74.41560000	-30.04429000
54.19999695	0.00000000	-69.43897000	-27.34990000
54.39999694	0.00000000	-63.29355000	-25.81816000
54.59999693	0.00000000	-57.51722000	-25.77510000
54.79999692	0.00000000	-53.70940000	-26.88853000
54.99999691	0.00000000	-53.28493000	-28.42027000
55.19999689	0.00000000	-55.93627000	-29.95201000
55.39999688	0.00000000	-60.54995000	-31.11466000
55.59999687	0.00000000	-65.94488000	-31.44069000
55.79999686	0.00000000	-70.55241000	-30.69636000
55.99999685	0.00000000	-73.29601000	-28.79552000
56.19999683	0.00000000	-73.67126000	-26.97465000
56.39999682	0.00000000	-71.71505000	-26.19340000
56.59999681	0.00000000	-67.48277000	-26.97465000
56.79999680	0.00000000	-62.17396000	-28.88164000
56.99999679	0.00000000	-57.94168000	-31.62524000
57.19999677	0.00000000	-55.98548000	-34.68873000
57.39999676	0.00000000	-56.31151000	-37.34006000
57.59999675	0.00000000	-58.59375000	-38.41043000
57.79999674	0.00000000	-61.66338000	-36.87869000
57.99999673	0.00000000	-64.82529000	-33.06471000
58.19999672	0.00000000	-67.90108000	-28.42027000
58.39999670	0.00000000	-70.18331000	-23.77584000
58.59999669	0.00000000	-70.55856000	-19.96186000
58.79999668	0.00000000	-69.10678000	-18.52239000
58.99999667	0.00000000	-66.78149000	-20.38632000
59.19999666	0.00000000	-64.49311000	-25.02460000
59.39999664	0.00000000	-62.54921000	-30.83784000
59.59999663	0.00000000	-61.75566000	-37.38312000
59.79999662	0.00000000	-61.70644000	-42.68578000
59.99999661	0.00000000	-62.13090000	-44.59276000
60.19999660	0.00000000	-63.28740000	-42.68578000
60.39999658	0.00000000	-64.78223000	-37.29700000
60.59999657	0.00000000	-65.89567000	-30.00123000
60.79999656	0.00000000	-65.93873000	-22.65625000
60.99999655	0.00000000	-65.20053000	-16.89222000
61.19999654	0.00000000	-64.45004000	-14.20399000
61.39999653	0.00000000	-63.66264000	-15.36048000
61.59999651	0.00000000	-63.28740000	-19.96186000
61.79999650	0.00000000	-63.28740000	-26.93159000
61.99999649	0.00000000	-63.71186000	-34.64567000
62.19999648	0.00000000	-64.82529000	-41.56618000
62.39999647	0.00000000	-65.93873000	-45.74926000
62.59999645	0.00000000	-66.36318000	-45.79232000
62.79999644	0.00000000	-66.36318000	-41.94144000
62.99999643	0.00000000	-65.93873000	-35.38385000
63.19999642	0.00000000	-64.82529000	-27.30684000
63.39999641	0.00000000	-63.66264000	-20.01107000
63.59999639	0.00000000	-62.86909000	-15.31742000
63.79999638	0.00000000	-62.08169000	-13.78568000
63.99999637	0.00000000	-61.75566000	-15.69267000
64.19999636	0.00000000	-62.13090000	-20.66314000
64.39999635	0.00000000	-63.28740000	-26.83932000
64.59999634	0.00000000	-64.78223000	-33.06471000
64.79999632	0.00000000	-65.98794000	-38.45349000
64.99999631	0.00000000	-66.73843000	-41.56618000
65.19999630	0.00000000	-67.10752000	-41.99065000
65.39999629	0.00000000	-66.32012000	-40.03444000
65.59999628	0.00000000	-64.86835000	-35.80832000
65.79999626	0.00000000	-63.66264000	-30.46260000
65.99999625	0.00000000	-62.91216000	-25.81816000
66.19999624	0.00000000	-62.50000000	-22.61319000
66.39999623	0.00000000	-62.91216000	-20.66314000
66.59999622	0.00000000	-63.66264000	-19.87574000
66.79999620	0.00000000	-64.86835000	-20.66314000
66.99999619	0.00000000	-66.36318000	-22.61319000
67.19999618	0.00000000	-67.43970000	-25.68282000
67.39999617	0.00000000	-67.10752000	-29.16461000
67.59999616	0.00000000	-65.53272000	-31.95128000
67.79999615	0.00000000	-63.61343000	-34.73794000
67.99999613	0.00000000	-60.91904000	-37.34006000
68.19999612	0.00000000	-59.09818000	-38.54576000
68.39999611	0.00000000	-59.05511000	-38.17667000
68.59999610	0.00000000	-60.59301000	-36.96481000
68.79999609	0.00000000	-63.33661000	-34.22736000
68.99999607	0.00000000	-66.82455000	-30.37647000
69.19999606	0.00000000	-70.64468000	-26.46407000
