Time	Channel A	Channel B	Channel C
(us)	(V)	(mV)	(mV)

-4.49999956	0.00000000	4.74286400	6.31151500
-4.29999957	0.00000000	4.74286400	6.31151500
-4.09999958	0.00000000	4.78592500	6.31151500
-3.89999959	0.00000000	5.11811000	6.31151500
-3.69999960	0.00000000	5.48720400	6.31151500
-3.49999962	0.00000000	5.11811000	6.31151500
-3.29999963	0.00000000	4.83513700	6.31151500
-3.09999964	0.00000000	5.11811000	6.31151500
-2.89999965	0.00000000	5.48720400	6.31151500
-2.69999966	0.00000000	5.11811000	6.31151500
-2.49999968	0.00000000	4.83513700	6.31151500
-2.29999969	0.00000000	5.11811000	6.31151500
-2.09999970	0.00000000	5.48720400	6.31151500
-1.89999971	0.00000000	5.11811000	6.31151500
-1.69999972	0.00000000	4.78592500	6.31151500
-1.49999973	0.00000000	4.74286400	6.31151500
-1.29999975	0.00000000	4.74286400	6.31151500
-1.09999976	0.00000000	4.74286400	6.31151500
-0.89999977	0.00000000	4.74286400	6.31151500
-0.69999978	0.00000000	4.78592500	6.31151500
-0.49999979	0.00000000	5.11811000	6.31151500
-0.29999981	0.15871060	5.53026500	6.31151500
-0.09999982	0.63668800	5.53641700	6.31151500
0.10000017	0.95533960	5.94857300	6.31151500
0.30000016	1.11466500	6.23154500	6.31151500
0.50000015	0.95533960	5.94857300	6.31151500
0.70000013	0.47736220	5.53641700	6.31151500
0.90000012	-0.31803640	5.53026500	6.26845500
1.10000011	-1.27399100	5.11811000	5.93626900
1.30000010	-2.22994600	4.78592500	5.57332700
1.50000009	-2.70792300	4.74286400	5.93626900
1.70000008	-2.54859700	4.74286400	6.26845500
1.90000006	-1.59264300	4.78592500	6.31151500
2.10000005	0.15871060	5.11811000	6.31151500
2.30000004	2.38927200	5.48720400	6.31151500
2.50000003	4.14124000	5.11811000	6.26845500
2.70000002	5.25652100	4.78592500	5.89320800
2.90000000	5.09719500	4.74286400	5.15501900
3.09999999	3.34522600	4.74286400	4.77977300
3.29999998	0.47736220	4.74286400	4.73671200
3.49999997	-2.86724900	4.74286400	4.77977300
3.69999996	-6.05315000	4.74286400	5.15501900
3.89999994	-7.80511800	4.78592500	5.89320800
4.09999993	-7.80511800	5.11811000	6.26845500
4.29999992	-5.57517200	5.53026500	6.31151500
4.49999991	-1.75196900	5.53641700	6.31151500
4.69999990	2.70792300	5.90551100	6.31151500
4.89999989	6.69045300	5.85629900	6.31151500
5.09999987	9.07972400	5.16117100	6.26845500
5.29999986	9.23905000	4.78592500	5.89320800
5.49999985	7.16781500	4.74286400	5.15501900
5.69999984	3.18590100	4.74286400	4.77977300
5.89999983	-1.59264300	4.78592500	4.73671200
6.09999981	-6.05315000	5.11811000	4.73671200
6.29999980	-8.76107300	5.53026500	4.82898600
6.49999979	-9.39837600	5.53641700	5.53026500
6.69999978	-7.64579200	5.94857300	6.63754800
6.89999977	-4.14124000	6.23154500	6.64370100
7.09999975	0.31803640	5.90551100	6.35457700
7.29999974	4.30056600	5.16117100	6.31151500
7.49999973	7.00848900	4.78592500	6.31151500
7.69999972	7.80511800	4.74286400	6.26845500
7.89999971	6.53112700	4.74286400	5.89320800
8.09999970	3.98191400	4.74286400	5.19808000
8.29999968	0.63668800	4.74286400	5.15501900
8.49999967	-2.38927200	4.74286400	5.51796200
8.69999966	-4.45989200	4.74286400	5.53026500
8.89999965	-5.25652100	4.74286400	5.93626900
9.09999964	-4.61921700	4.78592500	6.26845500
9.29999962	-3.02657500	5.16117100	6.31151500
9.49999961	-0.95533960	5.85629900	6.31151500
9.69999960	0.79601380	5.85629900	6.31151500
9.89999959	2.07062000	5.16117100	6.31151500
10.09999958	2.54859700	4.78592500	6.31151500
10.29999956	2.38927200	4.74286400	6.31151500
10.49999955	1.59264300	4.74286400	6.31151500
10.69999954	0.63668800	4.74286400	6.31151500
10.89999953	-0.15871060	4.74286400	6.31151500
11.09999952	-0.63668800	4.74286400	6.31151500
11.29999951	-0.95533960	4.74286400	6.31151500
11.49999949	-0.95533960	4.74286400	6.31151500
11.69999948	-0.79601380	4.78592500	6.31151500
11.89999947	-0.47736220	5.16117100	6.31151500
12.09999946	-0.15871060	5.90551100	6.31151500
12.29999945	-0.15871060	6.23154500	6.31151500
12.49999943	-0.15871060	5.90551100	6.31151500
12.69999942	0.00000000	5.16117100	6.31151500
12.89999941	0.00000000	4.78592500	6.31151500
13.09999940	0.00000000	4.74286400	6.31151500
13.29999939	0.00000000	4.78592500	6.31151500
13.49999937	0.00000000	5.16117100	6.31151500
13.69999936	0.00000000	5.85629900	6.31151500
13.89999935	0.00000000	5.85629900	6.31151500
14.09999934	-0.15871060	5.21038300	6.31151500
14.29999933	-0.15871060	5.16117100	6.31151500
14.49999932	-0.15871060	5.48720400	6.31151500
14.69999930	0.00000000	5.11811000	6.31151500
14.89999929	0.00000000	4.78592500	6.31151500
15.09999928	0.00000000	4.74286400	6.31151500
15.29999927	0.00000000	4.74286400	6.31151500
15.49999926	0.00000000	4.74286400	6.31151500
15.69999924	0.00000000	4.74286400	6.31151500
15.89999923	0.00000000	4.74286400	6.31151500
16.09999922	0.00000000	4.74286400	6.31151500
16.29999921	0.00000000	4.78592500	6.31151500
16.49999920	-0.15871060	5.11811000	6.31151500
16.69999919	-0.15871060	5.53026500	6.31151500
16.89999917	0.00000000	5.53641700	6.31151500
17.09999916	0.00000000	5.94857300	6.31151500
17.29999915	0.00000000	6.32381900	6.31151500
17.49999914	0.00000000	6.74212600	6.31151500
17.69999913	0.00000000	7.43725300	6.31151500
17.89999911	0.00000000	7.43725300	6.31151500
18.09999910	0.00000000	6.60679100	6.31151500
18.29999909	0.00000000	5.11195900	6.31151500
18.49999908	0.00000000	2.79281500	6.31151500
18.69999907	0.00000000	1.29798200	6.31151500
18.89999905	0.00000000	0.46751960	6.31151500
19.09999904	0.00000000	0.51058070	6.31151500
19.29999903	0.00000000	1.67322800	6.31151500
19.49999902	0.00000000	3.67249000	6.31151500
19.69999901	0.00000000	6.79133800	6.31151500
19.89999900	0.00000000	10.64838000	6.31151500
20.09999898	0.00000000	14.09326000	6.31151500
20.29999897	0.00000000	16.36934000	6.31151500
20.49999896	0.00000000	16.32628000	6.31151500
20.69999895	0.00000000	13.53962000	6.31151500
20.89999894	0.00000000	8.08932000	6.31151500
21.09999892	0.00000000	0.37524600	6.31151500
21.29999891	0.00000000	-7.30807100	6.31151500
21.49999890	0.00000000	-13.12131000	6.31151500
21.69999889	0.00000000	-15.72958000	6.31151500
21.89999888	0.00000000	-13.68110000	6.26845500
22.09999886	0.00000000	-6.28690900	5.93626900
22.29999885	0.00000000	5.29650500	5.57332700
22.49999884	0.00000000	18.37475000	5.93626900
22.69999883	0.00000000	29.58292000	6.26845500
22.89999882	0.00000000	36.10359000	6.31151500
23.09999881	0.00000000	36.42347000	6.35457700
23.29999879	0.00000000	29.40452000	6.72982200
23.49999878	0.00000000	16.19094000	7.47416300
23.69999877	0.00000000	-0.83661410	7.84940900
23.89999876	0.00000000	-18.55930000	7.89247000
24.09999875	0.00000000	-31.96973000	7.84940900
24.29999873	0.00000000	-37.36466000	7.42495000
24.49999872	0.00000000	-33.04010000	6.26845500
24.69999871	0.00000000	-19.45128000	4.73671200
24.89999870	0.00000000	1.02116100	3.15575800
25.09999869	0.00000000	23.76968000	1.62401600
25.29999867	0.00000000	43.03642000	0.51058070
25.49999866	0.00000000	54.24458000	0.51058070
25.69999865	0.00000000	54.57677000	1.71013800
25.89999864	0.00000000	43.73154000	4.03543200
26.09999863	0.00000000	23.63435000	7.56028500
26.29999862	0.00000000	-1.07037400	11.38041000
26.49999860	0.00000000	-24.61245000	14.90526000
26.69999859	0.00000000	-41.59695000	17.13829000
26.89999858	0.00000000	-47.78543000	17.50738000
27.09999857	0.00000000	-42.01525000	15.09596000
27.29999856	0.00000000	-25.77510000	10.03322000
27.49999854	0.00000000	-2.60826800	2.69439000
27.69999853	0.00000000	22.09646000	-5.33956700
27.89999852	0.00000000	42.56889000	-11.52190000
28.09999851	0.00000000	54.20152000	-14.58538000
28.29999850	0.00000000	54.66289000	-13.70571000
28.49999848	0.00000000	44.66043000	-7.85556000
28.69999847	0.00000000	26.83932000	2.17765700
28.89999846	0.00000000	4.83513700	14.11786000
29.09999845	0.00000000	-16.38164000	25.31373000
29.29999844	0.00000000	-31.50221000	33.02780000
29.49999843	0.00000000	-37.78297000	35.67913000
29.69999841	0.00000000	-34.75639000	32.10507000
29.89999840	0.00000000	-23.54207000	22.02264000
30.09999839	0.00000000	-6.97588500	7.38188900
30.29999838	0.00000000	11.20817000	-8.45841400
30.49999837	0.00000000	26.75320000	-21.93036000
30.69999835	0.00000000	37.22318000	-30.01353000
30.89999834	0.00000000	40.74803000	-30.38878000
31.09999833	0.00000000	36.52190000	-23.04995000
31.29999832	0.00000000	26.51329000	-9.47957600
31.49999831	0.00000000	12.55536000	7.89247000
31.69999829	0.00000000	-2.09768700	25.27067000
31.89999828	0.00000000	-14.14862000	38.79183000
32.09999827	0.00000000	-21.49360000	45.76156000
32.29999826	0.00000000	-22.69931000	44.55585000
32.49999825	0.00000000	-17.72884000	35.26082000
32.69999824	0.00000000	-8.46456700	19.46358000
32.89999822	0.00000000	3.16190900	0.97194880
33.09999821	0.00000000	14.70226000	-15.70497000
33.29999820	0.00000000	23.20989000	-27.73745000
33.49999819	0.00000000	26.74705000	-33.08317000
33.69999818	0.00000000	25.25836000	-30.01353000
33.89999816	0.00000000	19.48819000	-19.24212000
34.09999815	0.00000000	11.02362000	-3.80782500
34.29999814	0.00000000	2.13459600	13.23819000
34.49999813	0.00000000	-5.21653500	28.29724000
34.69999812	0.00000000	-9.49187900	38.33046000
34.89999810	0.00000000	-9.86712600	41.02485000
35.09999809	0.00000000	-6.42224400	35.67913000
35.29999808	0.00000000	0.09227362	24.15723000
35.49999807	0.00000000	7.35113100	9.47342500
35.69999806	0.00000000	13.16437000	-5.20423200
35.89999805	0.00000000	16.28322000	-16.77534000
36.09999803	0.00000000	16.28322000	-22.58243000
36.29999802	0.00000000	13.20743000	-21.41978000
36.49999801	0.00000000	7.90477300	-13.79798000
36.69999800	0.00000000	2.46678100	-1.86392700
36.89999799	0.00000000	-1.77780500	10.78371000
37.09999797	0.00000000	-4.46604300	21.22908000
37.29999796	0.00000000	-4.05388800	26.62401000
37.49999795	0.00000000	-1.02731300	26.29183000
37.69999794	0.00000000	3.62942900	20.53395000
37.89999793	0.00000000	8.97514600	10.96211000
38.09999791	0.00000000	13.20743000	0.63976370
38.29999790	0.00000000	15.16363000	-7.43725300
38.49999789	0.00000000	14.83760000	-10.83292000
38.69999788	0.00000000	12.51230000	-8.59375000
38.89999787	0.00000000	9.01820900	-1.35334600
39.09999786	0.00000000	4.74286400	7.80634800
39.29999784	0.00000000	0.51058070	16.30167000
39.49999783	0.00000000	-2.60826800	22.02264000
39.69999782	0.00000000	-4.14616100	23.13607000
39.89999781	0.00000000	-3.77091500	18.90994000
40.09999780	0.00000000	-1.44562000	10.49459000
40.29999778	0.00000000	1.99926200	0.55364170
40.49999777	0.00000000	5.94857300	-7.90477300
40.69999776	0.00000000	9.76870100	-12.50615000
40.89999775	0.00000000	12.92446000	-12.08169000
41.09999774	0.00000000	14.46850000	-6.36687900
41.29999772	0.00000000	14.83760000	2.82972400
41.49999771	0.00000000	13.25664000	12.45079000
41.69999770	0.00000000	9.86097400	20.57702000
41.89999769	0.00000000	6.36687900	25.13533000
42.09999768	0.00000000	3.16190900	24.76009000
42.29999767	0.00000000	0.09227362	19.41437000
42.49999765	0.00000000	-2.18996000	11.00517000
42.69999764	0.00000000	-2.56520700	2.12844500
42.89999763	0.00000000	-1.11343500	-5.20423200
43.09999762	0.00000000	1.20570900	-9.43036400
43.29999761	0.00000000	3.53715500	-9.47957600
43.49999759	0.00000000	5.90551100	-5.67175200
43.69999758	0.00000000	7.81250000	0.46751960
43.89999757	0.00000000	9.01820900	7.38188900
44.09999756	0.00000000	9.44266700	13.18898000
44.29999755	0.00000000	9.44266700	16.67692000
44.49999753	0.00000000	9.06742000	17.46432000
44.69999752	0.00000000	8.32308000	15.23130000
44.89999751	0.00000000	7.94783400	11.42347000
45.09999750	0.00000000	7.86171200	7.51722400
45.29999749	0.00000000	7.43725300	3.62327700
45.49999748	0.00000000	6.23154500	0.55364170
45.69999746	0.00000000	4.27534400	-0.97810030
45.89999745	0.00000000	1.58095500	-0.64591530
46.09999744	0.00000000	-1.11343500	1.24877000
46.29999743	0.00000000	-3.02657500	3.57406500
46.49999742	0.00000000	-3.81397600	6.31151500
46.69999740	0.00000000	-2.93430100	8.96284400
46.89999739	0.00000000	-0.18454720	10.53765000
47.09999738	0.00000000	4.87819900	10.95595000
47.29999737	0.00000000	11.02362000	10.53765000
47.49999736	0.00000000	16.79380000	8.96284400
47.69999734	0.00000000	20.60162000	6.31151500
47.89999733	0.00000000	20.97687000	3.61712600
48.09999732	0.00000000	17.86417000	1.66707700
48.29999731	0.00000000	11.62648000	0.51058070
48.49999730	0.00000000	3.16190900	0.55364170
48.69999729	0.00000000	-5.30265700	2.08538400
48.89999727	0.00000000	-11.44808000	4.77977300
49.09999726	0.00000000	-13.77338000	7.84940900
49.29999725	0.00000000	-11.40502000	10.58686000
49.49999724	0.00000000	-4.88435000	12.49385000
49.69999723	0.00000000	4.36761800	13.23819000
49.89999721	0.00000000	13.63189000	12.07554000
50.09999720	0.00000000	20.93381000	9.38115100
50.29999719	0.00000000	24.41560000	5.89320800
50.49999718	0.00000000	22.89001000	2.04232300
50.69999717	0.00000000	17.48893000	-1.02116100
50.89999715	0.00000000	8.97514600	-2.55905500
51.09999714	0.00000000	-0.55979330	-2.14074800
51.29999713	0.00000000	-7.86786400	0.55364170
51.49999712	0.00000000	-11.02977000	4.73671200
51.69999711	0.00000000	-9.86712600	9.00590400
51.89999710	0.00000000	-4.88435000	12.45079000
52.09999708	0.00000000	2.82972400	14.39468000
52.29999707	0.00000000	10.88829000	14.03174000
52.49999706	0.00000000	17.39665000	12.11860000
52.69999705	0.00000000	20.09719000	9.00590400
52.89999704	0.00000000	18.23942000	5.19808000
53.09999702	0.00000000	13.25664000	2.08538400
53.29999701	0.00000000	6.32381900	0.13533460
53.49999700	0.00000000	-0.55979330	-0.60285430
53.69999699	0.00000000	-5.16732200	0.55364170
53.89999698	0.00000000	-6.37303100	3.19881900
54.09999696	0.00000000	-4.05388800	6.26845500
54.29999695	0.00000000	0.88582670	8.91978400
54.49999694	0.00000000	7.06815900	10.07628000
54.69999693	0.00000000	12.42003000	9.38115100
54.89999692	0.00000000	15.90797000	7.89247000
55.09999691	0.00000000	16.28322000	6.26845500
55.29999689	0.00000000	13.63189000	4.40452700
55.49999688	0.00000000	9.01820900	2.92199800
55.69999687	0.00000000	3.62942900	3.33415300
55.89999686	0.00000000	-0.98425190	5.19808000
56.09999685	0.00000000	-3.67864200	7.89247000
56.29999683	0.00000000	-3.67864200	10.49459000
56.49999682	0.00000000	-1.02731300	11.60802000
56.69999681	0.00000000	3.16190900	10.49459000
56.89999680	0.00000000	7.43725300	7.80019600
57.09999679	0.00000000	10.93135000	4.31840500
57.29999677	0.00000000	13.25664000	0.46751960
57.49999676	0.00000000	13.58268000	-2.51599400
57.69999675	0.00000000	11.71875000	-3.29724400
57.89999674	0.00000000	8.28001900	-1.35334600
58.09999673	0.00000000	4.83513700	2.50369100
58.29999672	0.00000000	2.09153500	7.93553100
58.49999670	0.00000000	0.55364170	13.65650000
58.69999669	0.00000000	0.51058070	17.83957000
58.89999668	0.00000000	1.67322800	19.00221000
59.09999667	0.00000000	3.58021600	16.67692000
59.29999666	0.00000000	5.90551100	11.65723000
59.49999664	0.00000000	7.76943800	4.73671200
59.69999663	0.00000000	8.59990100	-2.18380900
59.89999662	0.00000000	8.23695900	-7.16043300
60.09999661	0.00000000	7.48646600	-9.06126900
60.29999660	0.00000000	6.32381900	-6.78518600
60.49999658	0.00000000	5.21038300	-1.39640700
60.69999657	0.00000000	4.78592500	5.57332700
60.89999656	0.00000000	4.78592500	13.28125000
61.09999655	0.00000000	5.16117100	19.37131000
61.29999654	0.00000000	5.94857300	22.10876000
61.49999653	0.00000000	6.69906400	20.95226000
61.69999651	0.00000000	7.43725300	16.30167000
61.89999650	0.00000000	7.39419200	8.96284400
62.09999649	0.00000000	6.28075700	0.55364170
62.29999648	0.00000000	4.74286400	-6.36687900
62.49999647	0.00000000	3.20497000	-9.84867000
62.69999645	0.00000000	2.04847400	-9.52263600
62.89999644	0.00000000	1.71628900	-5.67175200
63.09999643	0.00000000	2.46678100	0.51058070
63.29999642	0.00000000	4.36761800	7.89247000
63.49999641	0.00000000	6.28075700	15.18824000
63.69999639	0.00000000	7.90477300	20.53395000
63.89999638	0.00000000	9.39345400	22.10876000
64.09999637	0.00000000	10.13779000	19.83883000
64.29999636	0.00000000	9.39345400	14.85605000
64.49999635	0.00000000	7.86171200	8.26771600
64.69999634	0.00000000	5.90551100	1.71013800
64.89999632	0.00000000	3.62942900	-3.72170300
65.09999631	0.00000000	2.13459600	-6.78518600
65.29999630	0.00000000	2.04847400	-6.82824800
65.49999629	0.00000000	2.82972400	-4.18307100
65.69999628	0.00000000	3.99852300	0.04306102
65.89999626	0.00000000	5.94857300	4.69365100
66.09999625	0.00000000	7.76943800	9.00590400
66.29999624	0.00000000	8.55684000	12.49385000
66.49999623	0.00000000	7.81250000	14.85605000
66.69999622	0.00000000	6.32381900	15.60654000
66.89999620	0.00000000	4.74286400	14.90526000
67.09999619	0.00000000	3.20497000	12.91215000
67.29999618	0.00000000	2.09153500	10.21161000
67.49999617	0.00000000	2.13459600	6.68676100
67.69999616	0.00000000	3.67249000	3.24803100
67.89999615	0.00000000	6.32381900	0.46751960
68.09999613	0.00000000	9.01820900	-1.48868100
68.29999612	0.00000000	10.93135000	-2.64517700
68.49999611	0.00000000	11.67569000	-2.60211600
68.69999610	0.00000000	10.46998000	-1.07037400
68.89999609	0.00000000	7.43725300	1.71013800
69.09999607	0.00000000	3.53715500	5.57332700
69.29999606	0.00000000	-0.28297240	10.21161000
69.49999605	0.00000000	-3.34645700	14.03174000
69.69999604	0.00000000	-4.09694900	16.39395000
69.89999603	0.00000000	-2.56520700	16.76919000
70.09999601	0.00000000	0.97194880	15.18824000
70.29999600	0.00000000	6.36687900	11.70029000
70.49999599	0.00000000	12.09400000	6.68676100
70.69999598	0.00000000	16.32628000	1.71013800
70.89999597	0.00000000	17.90723000	-2.18380900
71.09999596	0.00000000	16.74459000	-4.09079700
71.29999594	0.00000000	13.25664000	-3.76476400
71.49999593	0.00000000	7.81250000	-1.39640700
71.69999592	0.00000000	1.67322800	2.41756900
71.89999591	0.00000000	-3.77091500	7.05585600
72.09999590	0.00000000	-7.21579700	10.86983000
72.29999588	0.00000000	-8.00319800	13.28125000
72.49999587	0.00000000	-5.67790300	14.03174000
72.69999586	0.00000000	-1.02731300	13.28125000
72.89999585	0.00000000	5.16117100	10.96211000
73.09999584	0.00000000	11.67569000	7.93553100
73.29999582	0.00000000	16.28322000	5.24729300
73.49999581	0.00000000	17.90723000	3.66633800
73.69999580	0.00000000	16.79380000	3.24803100
73.89999579	0.00000000	13.67495000	3.62327700
74.09999578	0.00000000	9.01820900	4.77977300
74.29999577	0.00000000	3.62942900	6.22539300
