time_stamp	temp 1	temp 2	temp 3	temp 4	temp 5	temp 6
2024-05-21 09:21:50.463768244	17.95355	18.54731	18.77944	18.73728	18.44158	15.38223
2024-05-21 09:21:50.963768244	17.78314	18.56844	18.71619	18.77944	18.35691	15.46996
2024-05-21 09:21:51.463768244	17.95355	18.54731	18.71619	18.71619	18.39926	15.40417
2024-05-21 09:21:51.963768244	17.95355	18.674	18.674	18.73728	18.33573	15.40417
2024-05-21 09:21:52.463768244	17.88969	18.52617	18.75836	18.71619	18.35691	15.40417
2024-05-21 09:21:52.963768244	17.93227	18.56844	18.77944	18.77944	18.39926	15.40417
2024-05-21 09:21:53.463768244	17.93227	18.56844	18.77944	18.77944	18.39926	15.36028
2024-05-21 09:21:53.963768244	17.93227	18.50503	18.77944	18.71619	18.42042	15.40417
2024-05-21 09:21:54.463768244	17.93227	18.58956	18.80051	18.6529	18.35691	15.42611
2024-05-21 09:21:54.963768244	17.97483	18.6529	18.88475	18.82158	18.46274	15.44804
2024-05-21 09:21:55.463768244	18.01737	18.61068	18.75836	18.77944	18.44158	15.42611
2024-05-21 09:21:55.963768244	17.88969	18.63179	18.75836	18.71619	18.31454	15.42611
2024-05-21 09:21:56.463768244	17.93227	18.61068	18.75836	18.80051	18.46274	15.44804
2024-05-21 09:21:56.963768244	17.97483	18.58956	18.75836	18.90579	18.39926	15.42611
2024-05-21 09:21:57.463768244	17.97483	18.6529	18.80051	18.71619	18.44158	15.38223
2024-05-21 09:21:57.963768244	17.95355	18.61068	18.84264	18.80051	18.39926	15.44804
2024-05-21 09:21:58.463768244	17.88969	18.6529	18.77944	18.75836	18.44158	15.42611
2024-05-21 09:21:58.963768244	17.93227	18.61068	18.75836	18.80051	18.35691	15.40417
2024-05-21 09:21:59.463768244	17.91098	18.6529	18.80051	18.80051	18.35691	15.38223
2024-05-21 09:21:59.963768244	17.91098	18.61068	18.77944	18.77944	18.44158	15.44804
2024-05-21 09:22:00.463768244	17.9961	18.61068	18.84264	18.80051	18.39926	15.38223
2024-05-21 09:22:00.963768244	17.9961	18.674	18.84264	18.77944	18.50503	15.44804
2024-05-21 09:22:01.463768244	18.01737	18.63179	18.88475	18.80051	18.42042	15.40417
2024-05-21 09:22:01.963768244	17.95355	18.61068	18.80051	18.82158	18.37809	15.42611
2024-05-21 09:22:02.463768244	17.9961	18.674	18.82158	18.90579	18.42042	15.40417
2024-05-21 09:22:02.963768244	17.9961	18.61068	18.75836	18.77944	18.33573	15.38223
2024-05-21 09:22:03.463768244	17.93227	18.63179	18.77944	18.82158	18.37809	15.38223
2024-05-21 09:22:03.963768244	17.97483	18.674	18.80051	18.75836	18.37809	15.40417
2024-05-21 09:22:04.463768244	17.9961	18.58956	18.8637	18.77944	18.42042	15.38223
2024-05-21 09:22:04.963768244	17.9961	18.6529	18.88475	18.84264	18.48389	15.46996
2024-05-21 09:22:05.463768244	18.05988	18.61068	18.84264	18.88475	18.54731	15.44804
2024-05-21 09:22:05.963768244	17.97483	18.6529	18.80051	18.90579	18.50503	15.42611
2024-05-21 09:22:06.463768244	17.97483	18.58956	18.82158	18.82158	18.44158	15.44804
2024-05-21 09:22:06.963768244	18.08113	18.63179	18.8637	18.84264	18.46274	15.42611
2024-05-21 09:22:07.463768244	18.14485	18.6529	18.8637	18.88475	18.52617	15.42611
2024-05-21 09:22:07.963768244	18.05988	18.61068	18.90579	18.84264	18.46274	15.40417
2024-05-21 09:22:08.463768244	18.01737	18.61068	18.82158	18.90579	18.39926	15.44804
2024-05-21 09:22:08.963768244	17.9961	18.674	18.8637	18.90579	18.39926	15.40417
2024-05-21 09:22:09.463768244	17.91098	18.71619	18.84264	18.80051	18.48389	15.42611
