time_stamp	temp 1	temp 2	temp 3	temp 4	temp 5	temp 6
2024-07-05 10:11:41.361793995	16.66335	16.79245	16.94282	17.24274	17.13575	15.36121
2024-07-05 10:11:41.861793995	16.66335	16.81395	16.87841	17.26412	17.09291	15.38308
2024-07-05 10:11:42.361793995	16.66335	16.79245	16.94282	17.26412	17.09291	15.29556
2024-07-05 10:11:42.861793995	16.68488	16.77095	16.92135	17.30687	17.09291	15.36121
2024-07-05 10:11:43.361793995	16.74944	16.85693	16.89988	17.2855	17.09291	15.38308
2024-07-05 10:11:43.861793995	16.64182	16.74944	16.89988	17.17856	17.13575	15.4268
2024-07-05 10:11:44.361793995	16.68488	16.79245	16.96428	17.24274	17.00718	15.33933
2024-07-05 10:11:44.861793995	16.68488	16.83544	16.87841	17.2855	17.15716	15.44866
2024-07-05 10:11:45.361793995	16.59873	16.77095	16.85693	17.32824	17.11433	15.4268
2024-07-05 10:11:45.861793995	16.64182	16.79245	16.92135	17.32824	17.00718	15.38308
2024-07-05 10:11:46.361793995	16.68488	16.74944	16.94282	17.30687	17.11433	15.31745
2024-07-05 10:11:46.861793995	16.70641	16.79245	16.94282	17.26412	17.09291	15.36121
2024-07-05 10:11:47.361793995	16.68488	16.72793	16.94282	17.19996	17.24274	15.27366
2024-07-05 10:11:47.861793995	16.72793	16.74944	17.02862	17.32824	17.07149	15.38308
2024-07-05 10:11:48.361793995	16.66335	16.77095	16.89988	17.37095	17.05006	15.33933
2024-07-05 10:11:48.861793995	16.68488	16.68488	16.85693	17.3496	16.98573	15.31745
2024-07-05 10:11:49.361793995	16.70641	16.74944	17.00718	17.2855	17.07149	15.38308
2024-07-05 10:11:49.861793995	16.74944	16.70641	16.89988	17.30687	17.09291	15.38308
2024-07-05 10:11:50.361793995	16.66335	16.74944	16.92135	17.30687	17.09291	15.36121
2024-07-05 10:11:50.861793995	16.68488	16.77095	16.92135	17.26412	17.09291	15.33933
2024-07-05 10:11:51.361793995	16.68488	16.77095	16.83544	17.32824	17.13575	15.36121
2024-07-05 10:11:51.861793995	16.66335	16.66335	16.96428	17.26412	17.13575	15.29556
2024-07-05 10:11:52.361793995	16.62028	16.70641	16.89988	17.3496	17.09291	15.38308
2024-07-05 10:11:52.861793995	16.57718	16.70641	16.94282	17.3496	17.07149	15.38308
2024-07-05 10:11:53.361793995	16.62028	16.70641	16.89988	17.30687	17.15716	15.36121
2024-07-05 10:11:53.861793995	16.70641	16.74944	16.89988	17.22135	17.09291	15.29556
2024-07-05 10:11:54.361793995	16.70641	16.79245	16.98573	17.30687	17.13575	15.36121
2024-07-05 10:11:54.861793995	16.62028	16.72793	16.87841	17.19996	17.11433	15.44866
2024-07-05 10:11:55.361793995	16.59873	16.68488	16.92135	17.2855	17.02862	15.20794
2024-07-05 10:11:55.861793995	16.68488	16.79245	16.98573	17.26412	17.15716	15.36121
2024-07-05 10:11:56.361793995	16.59873	16.72793	16.87841	17.32824	17.05006	15.40494
2024-07-05 10:11:56.861793995	16.70641	16.72793	16.94282	17.2855	17.05006	15.4268
2024-07-05 10:11:57.361793995	16.62028	16.77095	16.94282	17.30687	17.13575	15.44866
2024-07-05 10:11:57.861793995	16.68488	16.77095	16.89988	17.2855	17.13575	15.29556
2024-07-05 10:11:58.361793995	16.62028	16.68488	17.00718	17.24274	17.17856	15.33933
2024-07-05 10:11:58.861793995	16.59873	16.77095	16.85693	17.26412	17.05006	15.33933
2024-07-05 10:11:59.361793995	16.64182	16.74944	16.87841	17.3496	17.11433	15.27366
2024-07-05 10:11:59.861793995	16.62028	16.72793	16.89988	17.30687	17.13575	15.33933
2024-07-05 10:12:00.361793995	16.66335	16.72793	16.89988	17.26412	17.07149	15.38308
2024-07-05 10:12:00.861793995	16.66335	16.79245	16.98573	17.30687	17.05006	15.38308
2024-07-05 10:12:01.361793995	16.74944	16.74944	16.87841	17.2855	17.05006	15.27366
2024-07-05 10:12:01.861793995	16.59873	16.81395	16.94282	17.45632	17.09291	15.33933
2024-07-05 10:12:02.361793995	16.70641	16.72793	16.96428	17.2855	17.09291	15.36121
2024-07-05 10:12:02.861793995	16.57718	16.77095	16.87841	17.3496	17.07149	15.38308
2024-07-05 10:12:03.361793995	16.62028	16.70641	16.92135	17.17856	17.07149	15.38308
2024-07-05 10:12:03.861793995	16.72793	16.72793	16.98573	17.32824	17.07149	15.36121
2024-07-05 10:12:04.361793995	16.59873	16.74944	16.96428	17.26412	17.00718	15.36121
2024-07-05 10:12:04.861793995	16.62028	16.85693	16.87841	17.19996	17.00718	15.27366
2024-07-05 10:12:05.361793995	16.62028	16.77095	16.89988	17.30687	17.07149	15.36121
2024-07-05 10:12:05.861793995	16.68488	16.72793	16.94282	17.2855	17.05006	15.4268
2024-07-05 10:12:06.361793995	16.59873	16.68488	16.98573	17.19996	17.09291	15.29556
2024-07-05 10:12:06.861793995	16.62028	16.77095	16.87841	17.3496	17.07149	15.38308
2024-07-05 10:12:07.361793995	16.59873	16.77095	16.89988	17.37095	17.11433	15.33933
2024-07-05 10:12:07.861793995	16.57718	16.72793	16.89988	17.26412	17.11433	15.31745
2024-07-05 10:12:08.361793995	16.64182	16.79245	16.89988	17.24274	17.00718	15.25176
2024-07-05 10:12:08.861793995	16.59873	16.74944	16.92135	17.26412	17.09291	15.38308
2024-07-05 10:12:09.361793995	16.57718	16.74944	16.79245	17.2855	17.05006	15.27366
2024-07-05 10:12:09.861793995	16.64182	16.72793	16.89988	17.24274	17.15716	15.29556
2024-07-05 10:12:10.361793995	16.62028	16.66335	16.83544	17.15716	17.02862	15.25176
2024-07-05 10:12:10.861793995	16.59873	16.72793	16.92135	17.24274	17.05006	15.31745
2024-07-05 10:12:11.361793995	16.55562	16.70641	16.89988	17.26412	17.11433	15.18602
2024-07-05 10:12:11.861793995	16.66335	16.74944	16.85693	17.26412	17.07149	15.36121
2024-07-05 10:12:12.361793995	16.66335	16.74944	16.92135	17.22135	17.07149	15.33933
2024-07-05 10:12:12.861793995	16.66335	16.77095	16.85693	17.19996	17.11433	15.20794
2024-07-05 10:12:13.361793995	16.57718	16.66335	16.81395	17.24274	17.02862	15.31745
2024-07-05 10:12:13.861793995	16.68488	16.77095	17.02862	17.24274	17.09291	15.36121
2024-07-05 10:12:14.361793995	16.57718	16.66335	16.89988	17.19996	17.09291	15.20794
2024-07-05 10:12:14.861793995	16.55562	16.68488	16.89988	17.22135	17.00718	15.31745
2024-07-05 10:12:15.361793995	16.64182	16.64182	16.81395	17.24274	17.02862	15.33933
2024-07-05 10:12:15.861793995	16.59873	16.64182	16.89988	17.32824	17.05006	15.25176
2024-07-05 10:12:16.361793995	16.59873	16.64182	16.85693	17.22135	17.05006	15.27366
2024-07-05 10:12:16.861793995	16.51249	16.72793	16.85693	17.26412	17.05006	15.20794
2024-07-05 10:12:17.361793995	16.66335	16.74944	16.85693	17.15716	17.09291	15.29556
2024-07-05 10:12:17.861793995	16.62028	16.68488	16.89988	17.22135	17.07149	15.40494
2024-07-05 10:12:18.361793995	16.59873	16.74944	16.85693	17.24274	17.11433	15.36121
2024-07-05 10:12:18.861793995	16.55562	16.70641	16.89988	17.26412	17.00718	15.27366
2024-07-05 10:12:19.361793995	16.68488	16.74944	16.94282	17.30687	16.96428	15.18602
2024-07-05 10:12:19.861793995	16.72793	16.72793	16.87841	17.13575	16.98573	15.22985
2024-07-05 10:12:20.361793995	16.59873	16.66335	16.89988	17.22135	17.00718	15.29556
2024-07-05 10:12:20.861793995	16.64182	16.72793	16.85693	17.26412	17.00718	15.27366
2024-07-05 10:12:21.361793995	16.49091	16.66335	16.85693	17.22135	17.05006	15.27366
2024-07-05 10:12:21.861793995	16.57718	16.70641	16.89988	17.2855	17.00718	15.29556
